FIPS,wkt_geom
01057,"33.52658,-87.67113 33.52860,-87.83411 33.53102,-87.94202 33.92498,-87.94965 33.91448,-87.63880 33.86988,-87.52701 33.68879,-87.41843 33.60782,-87.41892 33.52658,-87.67113"
01059,"34.31262,-87.63371 34.32405,-88.16757 34.46518,-88.15121 34.58040,-88.13636 34.56767,-87.53043 34.31325,-87.53410 34.31262,-87.63371"
01061,"30.99262,-86.18163 30.99506,-86.18288 31.02019,-86.18638 31.19889,-86.18710 31.20482,-85.79560 31.20580,-85.48132 31.01114,-85.48347 31.00132,-85.49090 30.99272,-86.03188 30.99262,-86.18163"
01063,"32.52670,-87.81159 32.53374,-87.85712 32.59520,-88.05398 32.59707,-88.05830 32.62693,-88.07790 32.69892,-88.11639 32.83402,-88.18009 32.91811,-88.20656 32.92446,-88.20482 33.01875,-88.16935 33.02509,-88.16650 33.03004,-88.16204 33.04982,-88.14091 33.12947,-87.92693 33.14650,-87.87507 33.15824,-87.83701 33.03074,-87.71381 33.00608,-87.70889 33.00335,-87.70895 32.59348,-87.73887 32.59030,-87.73949 32.57280,-87.75729 32.52670,-87.81159"
01065,"32.48573,-87.72495 32.52670,-87.81159 32.76350,-87.86928 32.76577,-87.86868 32.77348,-87.86580 32.87085,-87.82883 32.89791,-87.81133 32.98114,-87.74446 33.01660,-87.71194 33.01165,-87.41985 32.87641,-87.41958 32.83183,-87.42239 32.48921,-87.52211 32.48573,-87.72495"
01067,"31.31263,-85.08037 31.32317,-85.41652 31.62514,-85.41683 31.71692,-85.41649 31.77772,-85.16321 31.78262,-85.13652 31.78446,-85.12510 31.77184,-85.11769 31.76625,-85.11476 31.63273,-85.05259 31.56231,-85.03926 31.55864,-85.03893 31.52708,-85.03799 31.31263,-85.08037"
01069,"31.00107,-85.00168 31.00132,-85.49090 31.20370,-85.70787 31.24450,-85.68507 31.26904,-85.66785 31.27483,-85.66328 31.27829,-85.65776 31.28325,-85.64252 31.32317,-85.41652 31.31263,-85.08037 31.03669,-84.99385 31.02235,-84.98984 31.00723,-84.99602 31.00107,-85.00168"
01071,"34.47902,-86.09058 34.60691,-86.32182 34.63497,-86.35085 34.73676,-86.35061 34.86206,-86.34660 34.87429,-86.34498 34.88601,-86.34170 34.97615,-86.31498 34.99142,-86.30817 34.99546,-86.30635 34.99442,-86.06042 34.99058,-85.60899 34.86224,-85.58311 34.77416,-85.64187 34.62329,-85.78354 34.50646,-85.95879 34.49236,-85.98845 34.48739,-86.00485 34.48357,-86.02901 34.47902,-86.09058"
01073,"33.25085,-87.01833 33.25265,-87.05999 33.31063,-87.15543 33.45914,-87.32545 33.47167,-87.33832 33.47889,-87.33537 33.49012,-87.32735 33.49550,-87.32335 33.78783,-87.00019 33.81505,-86.95564 33.84249,-86.88063 33.84206,-86.76394 33.76215,-86.54847 33.72058,-86.52408 33.54805,-86.52126 33.52622,-86.52154 33.47855,-86.59712 33.46761,-86.61459 33.27202,-86.94628 33.25235,-86.98315 33.25085,-87.01833"
01075,"33.53102,-87.94202 33.53868,-88.27455 33.74261,-88.24816 34.05902,-88.20261 34.05912,-87.98579 34.02728,-87.95039 33.53102,-87.94202"
